sep=,
DeviceTag:,Xsens_DOT_01
FirmwareVersion:,1.4.0
AppVersion:,2020.2.2
Measurement Mode:,Sensor fusion Mode - Orientation(Quaternion)
StartTime: ,2020-11-04_15:24:03_784 CET
© Xsens Technologies B. V. 2005-2020

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1,2476576675,0.802696,0.003694,-0.003872,0.596365
2,2476593342,0.802395,0.003688,-0.003869,0.596770
3,2476610009,0.802341,0.003686,-0.003867,0.596843
4,2476626676,0.802456,0.003689,-0.003868,0.596687
5,2476643343,0.802297,0.003693,-0.003864,0.596902
6,2476660010,0.802244,0.003698,-0.003861,0.596973
7,2476676677,0.802494,0.003710,-0.003856,0.596637
8,2476693344,0.802447,0.003706,-0.003861,0.596699
9,2476710011,0.802359,0.003712,-0.003865,0.596818
10,2476726678,0.802304,0.003708,-0.003867,0.596892
11,2476743345,0.802026,0.003716,-0.003859,0.597265
12,2476760012,0.802016,0.003713,-0.003860,0.597279
13,2476776679,0.801954,0.003716,-0.003856,0.597362
14,2476793346,0.801927,0.003720,-0.003853,0.597398
15,2476810013,0.801894,0.003719,-0.003855,0.597443
16,2476826680,0.802040,0.003723,-0.003862,0.597247
17,2476843347,0.802139,0.003717,-0.003860,0.597114
18,2476860014,0.802349,0.003718,-0.003856,0.596832
19,2476876681,0.802449,0.003718,-0.003858,0.596697
20,2476893348,0.802289,0.003725,-0.003862,0.596912
21,2476910015,0.802378,0.003731,-0.003855,0.596792
22,2476926682,0.802381,0.003735,-0.003854,0.596788
23,2476943349,0.802348,0.003735,-0.003853,0.596832
24,2476960016,0.802261,0.003746,-0.003859,0.596949
25,2476976683,0.802160,0.003737,-0.003846,0.597085
26,2476993350,0.802142,0.003735,-0.003854,0.597110
27,2477010017,0.802247,0.003739,-0.003853,0.596968
28,2477026684,0.802142,0.003734,-0.003860,0.597110
29,2477043351,0.802164,0.003734,-0.003866,0.597080
30,2477060018,0.802135,0.003734,-0.003866,0.597119
31,2477076685,0.801897,0.003748,-0.003860,0.597439
32,2477093352,0.801869,0.003744,-0.003862,0.597476
33,2477110019,0.801891,0.003746,-0.003860,0.597446
34,2477126686,0.801915,0.003751,-0.003859,0.597414
35,2477143353,0.801852,0.003740,-0.003866,0.597499
36,2477160020,0.801867,0.003752,-0.003866,0.597478
37,2477176687,0.801771,0.003743,-0.003866,0.597607
38,2477193354,0.801772,0.003747,-0.003858,0.597607
39,2477210021,0.801800,0.003746,-0.003858,0.597569
40,2477226688,0.801809,0.003738,-0.003859,0.597556
41,2477243355,0.801835,0.003719,-0.003860,0.597522
42,2477260022,0.801884,0.003717,-0.003863,0.597456
43,2477276689,0.801979,0.003727,-0.003863,0.597329
44,2477293356,0.802501,0.003728,-0.003856,0.596627
45,2477310023,0.802764,0.003737,-0.003862,0.596273
46,2477326690,0.802730,0.003740,-0.003843,0.596318
47,2477343357,0.802773,0.003740,-0.003844,0.596260
48,2477360024,0.802769,0.003738,-0.003847,0.596267
49,2477376691,0.802809,0.003748,-0.003850,0.596212
50,2477393358,0.802787,0.003739,-0.003854,0.596242
51,2477410025,0.802956,0.003737,-0.003871,0.596014
52,2477426692,0.803029,0.003731,-0.003867,0.595915
53,2477443359,0.802984,0.003735,-0.003871,0.595976
54,2477460026,0.802944,0.003732,-0.003874,0.596030
55,2477476693,0.802957,0.003727,-0.003874,0.596014
56,2477493360,0.802942,0.003729,-0.003869,0.596033
57,2477510027,0.802959,0.003726,-0.003859,0.596011
58,2477526694,0.802775,0.003724,-0.003862,0.596259
59,2477543361,0.802761,0.003733,-0.003877,0.596276
60,2477560028,0.802689,0.003719,-0.003889,0.596374
61,2477576695,0.802724,0.003709,-0.003888,0.596326
62,2477593362,0.802689,0.003706,-0.003885,0.596373
63,2477610029,0.802743,0.003707,-0.003883,0.596301
64,2477626696,0.802980,0.003709,-0.003881,0.595981
65,2477643363,0.802879,0.003711,-0.003876,0.596118
66,2477660030,0.802835,0.003713,-0.003868,0.596177
67,2477676697,0.802778,0.003717,-0.003862,0.596254
68,2477693364,0.802817,0.003710,-0.003856,0.596202
69,2477710031,0.802892,0.003695,-0.003864,0.596101
70,2477726698,0.802920,0.003701,-0.003858,0.596064
71,2477743365,0.803028,0.003709,-0.003851,0.595918
72,2477760032,0.803092,0.003700,-0.003864,0.595831
73,2477776699,0.803068,0.003708,-0.003855,0.595863
