sep=,
DeviceTag:,Xsens_DOT_02
FirmwareVersion:,1.4.0
AppVersion:,2020.2.2
Measurement Mode:,Sensor fusion Mode - Orientation(Quaternion)
StartTime: ,2020-11-04_15:24:03_812 CET
© Xsens Technologies B. V. 2005-2020

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1,2476560008,0.491395,0.009008,0.005148,-0.870875
2,2476576675,0.491511,0.009014,0.005143,-0.870810
3,2476593342,0.491462,0.009017,0.005137,-0.870838
4,2476610009,0.491539,0.009011,0.005136,-0.870794
5,2476626676,0.491420,0.009024,0.005122,-0.870861
6,2476643343,0.491642,0.009028,0.005112,-0.870736
7,2476660010,0.491474,0.009023,0.005106,-0.870831
8,2476676677,0.491759,0.009018,0.005110,-0.870670
9,2476693344,0.491851,0.009015,0.005103,-0.870618
10,2476710011,0.491811,0.009005,0.005099,-0.870641
11,2476726678,0.491791,0.009002,0.005097,-0.870652
12,2476743345,0.491814,0.008986,0.005103,-0.870639
13,2476760012,0.491728,0.008988,0.005098,-0.870688
14,2476776679,0.491530,0.008996,0.005100,-0.870800
15,2476793346,0.491616,0.008998,0.005113,-0.870751
16,2476810013,0.491864,0.008991,0.005118,-0.870611
17,2476826680,0.492316,0.008986,0.005118,-0.870356
18,2476843347,0.492318,0.008986,0.005118,-0.870354
19,2476860014,0.492238,0.008986,0.005108,-0.870400
20,2476876681,0.492173,0.008984,0.005103,-0.870436
21,2476893348,0.492146,0.008986,0.005101,-0.870452
22,2476910015,0.492159,0.008990,0.005100,-0.870444
23,2476926682,0.492048,0.008995,0.005093,-0.870507
24,2476943349,0.491961,0.008990,0.005096,-0.870556
25,2476960016,0.492014,0.008976,0.005095,-0.870526
26,2476976683,0.492062,0.008975,0.005088,-0.870499
27,2476993350,0.492069,0.008976,0.005093,-0.870495
28,2477010017,0.492027,0.008974,0.005084,-0.870519
29,2477026684,0.492232,0.008983,0.005079,-0.870403
30,2477043351,0.492245,0.008992,0.005064,-0.870396
31,2477060018,0.492259,0.009010,0.005051,-0.870388
32,2477076685,0.492145,0.009020,0.005052,-0.870452
33,2477093352,0.492070,0.009019,0.005040,-0.870495
34,2477110019,0.492065,0.009017,0.005044,-0.870497
35,2477126686,0.492006,0.009020,0.005040,-0.870530
36,2477143353,0.491820,0.009016,0.005022,-0.870636
37,2477160020,0.491830,0.009016,0.005012,-0.870630
38,2477176687,0.491880,0.009019,0.005013,-0.870602
39,2477193354,0.491884,0.009019,0.005000,-0.870600
40,2477210021,0.491679,0.009026,0.004999,-0.870716
41,2477226688,0.491662,0.009032,0.005000,-0.870725
42,2477243355,0.491662,0.009040,0.004995,-0.870725
43,2477260022,0.491629,0.009049,0.005003,-0.870744
44,2477276689,0.491617,0.009049,0.005003,-0.870750
45,2477293356,0.491445,0.009056,0.004986,-0.870847
46,2477310023,0.490777,0.009043,0.004978,-0.871224
47,2477326690,0.490511,0.009047,0.004970,-0.871374
48,2477343357,0.490381,0.009052,0.004966,-0.871447
49,2477360024,0.490329,0.009057,0.004966,-0.871477
50,2477376691,0.490320,0.009067,0.004965,-0.871482
51,2477393358,0.490372,0.009070,0.004954,-0.871452
52,2477410025,0.490306,0.009078,0.004952,-0.871489
53,2477426692,0.490365,0.009071,0.004956,-0.871456
54,2477443359,0.490610,0.009062,0.004960,-0.871318
55,2477460026,0.490611,0.009064,0.004968,-0.871318
56,2477476693,0.490660,0.009059,0.004960,-0.871290
57,2477493360,0.490959,0.009065,0.004956,-0.871122
58,2477510027,0.490983,0.009064,0.004952,-0.871108
59,2477526694,0.491248,0.009066,0.004951,-0.870958
60,2477543361,0.491207,0.009075,0.004948,-0.870982
61,2477560028,0.491058,0.009077,0.004935,-0.871066
62,2477576695,0.491046,0.009075,0.004930,-0.871073
63,2477593362,0.490908,0.009078,0.004925,-0.871150
64,2477610029,0.491049,0.009079,0.004929,-0.871071
65,2477626696,0.491059,0.009081,0.004931,-0.871065
66,2477643363,0.491081,0.009069,0.004929,-0.871053
67,2477660030,0.491094,0.009071,0.004934,-0.871046
68,2477676697,0.491031,0.009062,0.004933,-0.871081
69,2477693364,0.490761,0.009055,0.004928,-0.871233
70,2477710031,0.490680,0.009047,0.004929,-0.871279
71,2477726698,0.490730,0.009032,0.004933,-0.871251
72,2477743365,0.490560,0.009032,0.004928,-0.871347
73,2477760032,0.490469,0.009033,0.004924,-0.871398
74,2477776699,0.490474,0.009038,0.004924,-0.871395
75,2477793366,0.490421,0.009045,0.004920,-0.871425
76,2477810033,0.490545,0.009050,0.004914,-0.871355
77,2477826700,0.490543,0.009055,0.004921,-0.871356
78,2477843367,0.490449,0.009055,0.004912,-0.871409
79,2477860034,0.490984,0.009055,0.004917,-0.871108
80,2477876701,0.490908,0.009051,0.004918,-0.871151
81,2477893368,0.491053,0.009036,0.004920,-0.871069
82,2477910035,0.491080,0.009042,0.004913,-0.871054
83,2477926702,0.490932,0.009046,0.004914,-0.871137
84,2477943369,0.490911,0.009055,0.004906,-0.871149
85,2477960036,0.490739,0.009048,0.004887,-0.871246
86,2477976703,0.490516,0.009046,0.004892,-0.871372
87,2477993370,0.490536,0.009047,0.004901,-0.871360
88,2478010037,0.490592,0.009047,0.004897,-0.871329
89,2478026704,0.490797,0.009048,0.004905,-0.871214
90,2478043371,0.490988,0.009042,0.004898,-0.871106
91,2478060038,0.491023,0.009037,0.004896,-0.871086
92,2478076705,0.491039,0.009035,0.004888,-0.871077
93,2478093372,0.491089,0.009036,0.004871,-0.871049
94,2478110039,0.491152,0.009034,0.004868,-0.871014
95,2478126706,0.491131,0.009038,0.004878,-0.871025
96,2478143373,0.491067,0.009046,0.004874,-0.871061
97,2478160040,0.490958,0.009044,0.004871,-0.871123
98,2478176707,0.490852,0.009058,0.004875,-0.871183
99,2478193374,0.490960,0.009053,0.004875,-0.871122
100,2478210041,0.490935,0.009055,0.004862,-0.871136
101,2478226708,0.490903,0.009063,0.004865,-0.871154
102,2478243375,0.490851,0.009060,0.004864,-0.871183
103,2478260042,0.491041,0.009057,0.004857,-0.871076
104,2478276709,0.491125,0.009060,0.004851,-0.871029
105,2478293376,0.491349,0.009063,0.004854,-0.870902
106,2478310043,0.491198,0.009074,0.004849,-0.870987
107,2478326710,0.491366,0.009074,0.004856,-0.870892
108,2478343377,0.491347,0.009075,0.004853,-0.870903
109,2478360044,0.491356,0.009083,0.004857,-0.870898
110,2478376711,0.491326,0.009077,0.004845,-0.870915
111,2478393378,0.491114,0.009078,0.004832,-0.871035
